id,title,town,state,usage_type,status,operator,connection_types,power_kw,quantity,lat,lon,usage_simple,status_simple,is_fast,state_abbrev
462699,Donato,Mt Martha,Victoria,Public - Membership Required,Operational,(Unknown Operator),Unknown,,2.0,-38.256545398294726,145.0374398950537,public,operational,False,VIC
462383,Evie Mansfield,Mansfield,VIC,Public - Membership Required,Operational,Evie,"CCS (Type 2), CHAdeMO",50.0,2.0,-37.05103784342149,146.08673665423203,public,operational,True,VIC
461964,Kennington Village Shopping Centre,Bendigo,Victoria,Public,Operational,(Unknown Operator),CCS (Type 2),,2.0,-36.77522424001277,144.305953060746,public,operational,False,VIC
461963,La Trobe University Bendigo,Bendigo,Victoria,Public - Membership Required,Operational,(Unknown Operator),CCS (Type 2),,10.0,-36.778689772739966,144.30153718662336,public,operational,False,VIC
461814,Common People Brewing,Bangalow,NSW,Public,Operational,(Unknown Operator),Type 2 (Tethered Connector) ,,2.0,-28.696494360025127,153.50949385748117,public,operational,False,NSW
461735,Tesla Supercharger Keysborough,Keysborough,VIC,Public,Operational,Tesla (including non-tesla),CCS (Type 2),270.0,6.0,-37.99265638766672,145.14482179447077,public,operational,True,VIC
461734,Tesla Supercharger Nhill,Nhill,VIC,Public,Operational,Tesla (including non-tesla),CCS (Type 2),270.0,4.0,-36.332722244434336,141.651505985629,public,operational,True,VIC
461732,Shell Recharge Corio,Norlane,VIC,Public - Membership Required,Operational,Ampol AmpCharge,CCS (Type 2),350.0,4.0,-38.07542415453054,144.37025628239667,public,operational,True,VIC
461731,Ampcharge Waurn Ponds,Waurn Ponds,VIC,Public - Membership Required,Operational,Ampol AmpCharge,CCS (Type 2),150.0,6.0,-38.19919196237264,144.31698737047805,public,operational,True,VIC
461730,Ampcharge Karingal Hub,Karingal,VIC,Public - Membership Required,Operational,Ampol AmpCharge,CCS (Type 2),180.0,8.0,-38.15191969262739,145.16596676548875,public,operational,True,VIC
461729,Bunnings Springvale,Springvale,VIC,Public - Membership Required,Operational,Exploren,CCS (Type 2),120.0,2.0,-37.931885715813294,145.1527741495313,public,operational,True,VIC
461728,Evie Doncaster East,Doncaster East,VIC,Public - Membership Required,Operational,Evie,CCS (Type 2),50.0,4.0,-37.7617875851612,145.16840228271178,public,operational,True,VIC
461335,Tesla Supercharger Coolac ,Coolac ,NSW ,Public - Membership Required,Operational,Tesla (including non-tesla),CCS (Type 2),300.0,12.0,-34.92406429306022,148.16582371947493,public,operational,True,NSW
461192,Equinox Business Park,Deakin,ACT,Public - Membership Required,Operational,SolarHub Charge (AU),Type 2 (Tethered Connector) ,22.0,2.0,-35.32076185148239,149.09758722281003,public,operational,False,ACT
460625,Tesla Supercharger Taree,Taree,NSW,Public - Membership Required,Operational,Tesla (including non-tesla),CCS (Type 2),250.0,12.0,-31.90775175578876,152.46206814642426,public,operational,True,NSW
460617,Kew Tesla Supercharger,Kew,NSW,Public - Membership Required,Operational,Tesla (including non-tesla),CCS (Type 2),250.0,8.0,-31.63433387636207,152.7251587763015,public,operational,True,NSW
